category,gh_id,name,full_name,desc,created,last_update,size,forks,stars,language,homepage,license,topics
N/A,37382858,engineering-blogs,kilimchoi/engineering-blogs,A curated list of engineering blogs,2015-06-13T18:25:17Z,2021-07-01T15:55:40Z,1373,366,19188,Ruby,,,"['lists', 'tech', 'software-development', 'engineering-blogs', 'programming-blogs']"
N/A,36804486,tqdm,tqdm/tqdm,"A Fast, Extensible Progress Bar for Python and CLI",2015-06-03T13:13:14Z,2021-07-01T16:45:49Z,5711,961,18683,Python,https://tqdm.github.io,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['python', 'cli', 'console', 'gui', 'time', 'terminal', 'telegram', 'utilities', 'jupyter', 'progress', 'discord', 'progress-bar', 'parallel', 'keras', 'meter', 'progressbar', 'pandas', 'progressmeter', 'rate', 'tkinter']"
N/A,69626576,awesome-spider,facert/awesome-spider,爬虫集合,2016-09-30T02:33:03Z,2021-07-01T17:39:01Z,116,4109,15807,,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['python', 'awesome', 'spider']"
N/A,312262,vimium,philc/vimium,The hacker's browser.,2009-09-20T07:08:19Z,2021-07-01T16:59:48Z,5642,1906,15774,JavaScript,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,2371106,ruby-style-guide,rubocop/ruby-style-guide,A community-driven Ruby coding style guide,2011-09-12T13:03:05Z,2021-07-01T16:40:11Z,2807,3406,15669,,https://rubystyle.guide,,"['ruby', 'rubocop', 'style-guide']"
N/A,48623558,wttr.in,chubin/wttr.in,:partly_sunny: The right way to check the weather,2015-12-26T21:03:43Z,2021-07-01T17:28:52Z,1414,716,14843,Python,https://wttr.in,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['weather', 'terminal', 'curl', 'ascii-art', 'weather-information', 'weather-api', 'weather-app']"
N/A,5526729,.tmux,gpakosz/.tmux,"🇫🇷 Oh my tmux! My self-contained, pretty & versatile tmux configuration made with ❤️",2012-08-23T13:26:29Z,2021-07-01T10:47:39Z,393,2424,14413,,,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['shell', 'theme', 'dotfiles', 'tmux', 'cli', 'console', 'terminal', 'customization', 'configuration', 'plugins', 'screen', 'wsl', 'powerline', 'cygwin', 'tmux-plugins', 'tmux-configuration', 'tmux-conf', 'conf', 'tmux-config', 'tmux-theme']"
N/A,2006876,swagger-codegen,swagger-api/swagger-codegen,"swagger-codegen contains a template-driven engine to generate documentation, API clients and server stubs in different languages by parsing your OpenAPI / Swagger definition.",2011-07-06T14:26:48Z,2021-07-01T14:30:47Z,101264,5564,13236,Mustache,http://swagger.io,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['rest', 'rest-api', 'swagger', 'swagger-codegen', 'openapi-specification', 'openapi3']"
N/A,39315600,Iosevka,be5invis/Iosevka,"Versatile typeface for code, from code.",2015-07-18T23:10:59Z,2021-07-01T14:02:21Z,19686176,401,12280,JavaScript,http://be5invis.github.io/Iosevka,"{'key': 'ofl-1.1', 'name': 'SIL Open Font License 1.1', 'spdx_id': 'OFL-1.1', 'url': 'https://api.github.com/licenses/ofl-1.1', 'node_id': 'MDc6TGljZW5zZTE3'}","['font', 'typeface', 'opentype-features', 'programming-font', 'monospace-font', 'ligatures', 'programming-ligatures', 'iosevka']"
N/A,72396492,modern-cpp-features,AnthonyCalandra/modern-cpp-features,A cheatsheet of modern C++ language and library features.,2016-10-31T03:34:22Z,2021-07-01T17:37:12Z,241,1348,12191,,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['cpp', 'cpp14', 'cpp11', 'cpp17', 'cpp20']"
N/A,49010787,vim-galore,mhinz/vim-galore,:mortar_board: All things Vim!,2016-01-04T17:02:16Z,2021-07-01T11:04:50Z,952,519,12019,Vim script,,"{'key': 'cc-by-sa-4.0', 'name': 'Creative Commons Attribution Share Alike 4.0 International', 'spdx_id': 'CC-BY-SA-4.0', 'url': 'https://api.github.com/licenses/cc-by-sa-4.0', 'node_id': 'MDc6TGljZW5zZTI2'}","['vim', 'viml', 'awesome', 'neovim', 'guide', 'tips', 'tricks', 'help', 'vim-scripts', 'learn', 'awesome-list']"
N/A,80256824,digital_video_introduction,leandromoreira/digital_video_introduction,"A hands-on introduction to video technology: image, video, codec (av1, vp9, h265) and more (ffmpeg encoding).",2017-01-28T00:12:05Z,2021-07-01T04:00:13Z,26907,977,11751,Jupyter Notebook,https://github.com/leandromoreira/introduction_video_technology,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['audio', 'learning', 'tutorial', 'compression', 'h264', 'video', 'ffmpeg', 'hls', 'guide', 'handson', 'dash', 'codec', 'video-codec', 'h265', 'adaptive-streaming', 'arithmetic-coding', 'vp9', 'bitstream', 'av1', 'frame-types']"
N/A,156967161,wtfpython-cn,leisurelicht/wtfpython-cn,wtfpython的中文翻译/施工结束/ 能力有限，欢迎帮我改进翻译,2018-11-10T09:37:58Z,2021-07-01T08:50:15Z,338,2016,11748,Python,https://github.com/leisurelicht/wtfpython-cn/blob/master/CONTRIBUTING.md,"{'key': 'wtfpl', 'name': 'Do What The F*ck You Want To Public License', 'spdx_id': 'WTFPL', 'url': 'https://api.github.com/licenses/wtfpl', 'node_id': 'MDc6TGljZW5zZTE4'}",[]
N/A,5569059,UglifyJS,mishoo/UglifyJS, JavaScript parser / mangler / compressor / beautifier toolkit,2012-08-27T09:31:03Z,2021-07-01T16:18:31Z,18304,1189,11527,JavaScript,http://lisperator.net/uglifyjs/,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[]
N/A,169839893,How-To-Secure-A-Linux-Server,imthenachoman/How-To-Secure-A-Linux-Server,An evolving how-to guide for securing a Linux server.,2019-02-09T06:44:37Z,2021-07-01T17:25:27Z,984,722,11490,,,"{'key': 'cc-by-sa-4.0', 'name': 'Creative Commons Attribution Share Alike 4.0 International', 'spdx_id': 'CC-BY-SA-4.0', 'url': 'https://api.github.com/licenses/cc-by-sa-4.0', 'node_id': 'MDc6TGljZW5zZTI2'}","['linux', 'security', 'server', 'hardening', 'security-hardening', 'linux-server', 'cc-by-sa', 'hardening-steps']"
N/A,162940724,GNNPapers,thunlp/GNNPapers,Must-read papers on graph neural networks (GNN),2018-12-24T02:26:31Z,2021-07-01T14:29:07Z,329,2236,11323,,,,"['paper-list', 'gnn']"
N/A,103126070,goproxy,snail007/goproxy,"🔥  Proxy is a high performance HTTP(S) proxies, SOCKS5 proxies,WEBSOCKET, TCP, UDP proxy server implemented by golang. Now, it supports chain-style proxies,nat forwarding in different lan,TCP/UDP port forwarding, SSH forwarding.Proxy是golang实现的高性能http,https,websocket,tcp,socks5代理服务器,支持内网穿透,链式代理,通讯加密,智能HTTP,SOCKS5代理,黑白名单,限速,限流量,限连接数,跨平台,KCP支持,认证API。",2017-09-11T11:10:28Z,2021-07-01T06:52:23Z,2502,2110,10497,Go,https://snail007.host900.com/goproxy/manual/zh/,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}","['tls', 'http', 'socket', 'tcp', 'udp', 'http-proxy', 'https-proxy', 'socks5', 'reverse-proxy', 'tcp-proxy', 'websocket-proxy', 'kcptun', 'socks5-proxy', 'transparent-proxy', 'udp-proxy', 'dns-proxy', 'tls-proxy', 'upstream-proxies', 'ss-proxy', 'encryption-proxy']"
N/A,86894350,bash-guide,Idnan/bash-guide,A guide to learn bash,2017-04-01T07:38:28Z,2021-07-01T11:51:10Z,90,972,10315,,,,[]
N/A,613829,lua-nginx-module,openresty/lua-nginx-module,Embed the Power of Lua into NGINX HTTP servers,2010-04-16T15:59:01Z,2021-07-01T15:10:07Z,14515,1861,9371,C,https://openresty.org/,,[]
N/A,46041284,Vim,VSCodeVim/Vim,:star: Vim for Visual Studio Code,2015-11-12T09:02:23Z,2021-07-01T14:13:11Z,24159,959,9137,TypeScript,http://aka.ms/vscodevim,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['vim', 'typescript', 'vscode', 'vscode-extension', 'keybindings']"
N/A,167483271,sampler,sqshq/sampler,"Tool for shell commands execution, visualization and alerting. Configured with a simple YAML file.",2019-01-25T04:10:21Z,2021-07-01T07:45:35Z,2255,445,8948,Go,https://sampler.dev,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}","['visualization', 'shell', 'golang', 'charts', 'terminal', 'monitoring', 'command-line', 'alerting', 'cmd', 'sampler', 'command-line-tool', 'dashbord']"
N/A,32131850,whistle,avwo/whistle,"HTTP, HTTP2, HTTPS, Websocket debugging proxy",2015-03-13T05:42:01Z,2021-07-01T15:18:39Z,46154,758,8862,JavaScript,https://wproxy.org/,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['nodejs', 'node', 'web', 'proxy', 'hosts', 'debug', 'weinre', 'charles', 'fiddler']"
N/A,39785222,unmaintainable-code,Droogans/unmaintainable-code,"A more maintainable, easier to share version of the infamous http://mindprod.com/jgloss/unmain.html",2015-07-27T16:28:25Z,2021-06-30T20:48:17Z,194,332,8678,,,,[]
N/A,63659739,awesome-adb,mzlogin/awesome-adb,ADB Usage Complete / ADB 用法大全,2016-07-19T04:12:48Z,2021-07-01T07:29:24Z,347,1788,8231,,https://mazhuang.org/awesome-adb/,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['android', 'android-debug-bridge', 'android-adb']"
N/A,323048702,GamestonkTerminal,GamestonkTerminal/GamestonkTerminal,A FOSS alternative to Bloomberg Terminal.,2020-12-20T10:46:38Z,2021-07-01T17:17:31Z,35750,880,8116,Python,https://gamestonkterminal.netlify.app,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['python', 'machine-learning', 'artificial-intelligence', 'investment', 'terminal-app', 'bloomberg-terminal', 'investment-analysis', 'gamestonk-terminal']"
N/A,84822,js-beautify,beautify-web/js-beautify,Beautifier for javascript ,2008-12-04T06:35:54Z,2021-07-01T15:31:45Z,11646,1256,7305,JavaScript,https://beautifier.io,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['nodejs', 'javascript', 'css', 'python', 'html']"
N/A,2701888,kakoune,mawww/kakoune,mawww's experiment for a better code editor,2011-11-03T12:43:55Z,2021-07-01T16:19:04Z,40967,584,7242,C++,http://kakoune.org,"{'key': 'unlicense', 'name': 'The Unlicense', 'spdx_id': 'Unlicense', 'url': 'https://api.github.com/licenses/unlicense', 'node_id': 'MDc6TGljZW5zZTE1'}","['vim', 'c-plus-plus', 'kakoune', 'text-editor', 'console-application', 'modal-editing']"
N/A,2798959,dotfiles,skwp/dotfiles,"YADR - The best vim,git,zsh plugins and the cleanest vimrc you've ever seen",2011-11-17T22:01:19Z,2021-06-29T13:43:50Z,2929,1433,6723,Ruby,http://skwp.github.com/dotfiles,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}",[]
N/A,115952610,awesome-developer-streams,bnb/awesome-developer-streams,"👩🏿‍💻👨🏾‍💻👩🏼‍💻👨🏽‍💻👩🏻‍💻 Awesome Developers, Streaming",2018-01-01T22:30:20Z,2021-06-30T10:50:20Z,926,486,6702,,,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}","['youtube', 'twitch', 'streaming', 'awesome', 'twitchtv', 'awesome-list', 'periscope', 'developers', 'twitchdev']"
N/A,3302795,node-bunyan,trentm/node-bunyan,a simple and fast JSON logging module for node.js services,2012-01-30T06:26:13Z,2021-06-30T15:36:20Z,1648,513,6661,JavaScript,,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[]
N/A,29439879,programming-talks,hellerve/programming-talks,Awesome & interesting talks about programming,2015-01-18T20:29:42Z,2021-07-01T07:16:42Z,928,458,6370,Python,,,"['list', 'talks', 'programming-talks']"
N/A,278798376,easy_rust,Dhghomon/easy_rust,Rust explained using easy English,2020-07-11T05:54:06Z,2021-07-01T13:13:08Z,7887,258,6068,Shell,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,50806714,YubiKey-Guide,drduh/YubiKey-Guide,Guide to using YubiKey for GPG and SSH,2016-02-01T01:56:49Z,2021-07-01T10:28:51Z,1018,693,5979,,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['ssh', 'security', 'gnupg', 'yubikey', 'gpg', 'smartcard', 'remote-access', 'rsa-cryptography', 'gpg-agent', 'gpg-configuration']"
N/A,16734696,janus-gateway,meetecho/janus-gateway,Janus WebRTC Server,2014-02-11T15:14:39Z,2021-07-01T14:31:13Z,40659,1894,5690,C,https://janus.conf.meetecho.com,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",[]
N/A,23011147,imbalanced-learn,scikit-learn-contrib/imbalanced-learn, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning,2014-08-16T05:08:26Z,2021-07-01T09:48:30Z,21810,1103,5312,Python,https://imbalanced-learn.org,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['python', 'data-science', 'machine-learning', 'statistics', 'data-analysis']"
N/A,27251463,Lean,QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (C#, Python)",2014-11-28T04:20:19Z,2021-07-01T14:48:57Z,513702,2268,5136,C#,https://lean.io,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['python', 'c-sharp', 'finance', 'algorithm', 'options', 'trading-bot', 'forex', 'trading-platform', 'trading-strategies', 'trading-algorithms', 'stock-indicators', 'algorithmic-trading-engine', 'quantconnect', 'lean-engine']"
N/A,210854001,how-to-exit-vim,hakluke/how-to-exit-vim,Below are some simple methods for exiting vim.,2019-09-25T13:36:25Z,2021-07-01T17:38:32Z,751,264,5098,,,,[]
N/A,116014572,whatsapp-web-reveng,sigalor/whatsapp-web-reveng,Reverse engineering WhatsApp Web.,2018-01-02T12:48:44Z,2021-07-01T01:55:45Z,1806,688,5096,JavaScript,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['node', 'encryption', 'reverse-engineering', 'whatsapp', 'whatsapp-web']"
N/A,55169257,autocannon,mcollina/autocannon,fast HTTP/1.1 benchmarking tool written in Node.js,2016-03-31T17:18:21Z,2021-07-01T13:44:49Z,1072,259,5072,JavaScript,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,159038012,ethr,microsoft/ethr,"Ethr is a Comprehensive Network Measurement Tool for TCP, UDP & ICMP.",2018-11-25T14:05:30Z,2021-07-01T03:34:13Z,367,305,4892,Go,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,19173633,iScript,PeterDing/iScript,"各种脚本 -- 关于 虾米 xiami.com, 百度网盘 pan.baidu.com, 115网盘 115.com, 网易音乐 music.163.com, 百度音乐 music.baidu.com, 360网盘/云盘 yunpan.cn, 视频解析 flvxz.com, bt torrent ↔ magnet, ed2k 搜索, tumblr 图片下载, unzip",2014-04-26T09:16:50Z,2021-06-27T16:45:49Z,1142,1221,4882,Python,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['music', 'unzip', 'tumblr', 'python2', 'xiami', 'baiduyun', 'magnet-torrent', 'iscript']"
N/A,91054480,zerolog,rs/zerolog,Zero Allocation JSON Logger,2017-05-12T05:24:39Z,2021-07-01T17:10:25Z,1047,295,4860,Go,,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['golang', 'json', 'logging', 'structured-logging', 'zerolog']"
N/A,26639347,gobuster,OJ/gobuster,"Directory/File, DNS and VHost busting tool written in Go",2014-11-14T13:18:35Z,2021-07-01T07:17:15Z,659,751,4745,Go,,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}","['go', 'dns', 'web', 'tool', 'pentesting']"
N/A,105699750,pyod,yzhao062/pyod,(JMLR'19) A Python Toolbox for Scalable Outlier Detection (Anomaly Detection),2017-10-03T20:29:04Z,2021-07-01T08:11:30Z,36336,932,4617,Python,http://pyod.readthedocs.io,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}","['python', 'data-science', 'machine-learning', 'data-mining', 'deep-learning', 'python3', 'neural-networks', 'outliers', 'autoencoder', 'data-analysis', 'outlier-detection', 'anomaly', 'python2', 'unsupervised-learning', 'fraud-detection', 'anomaly-detection', 'outlier-ensembles']"
N/A,30381877,concurrently,kimmobrunfeldt/concurrently,Run commands concurrently. Like `npm run watch-js & npm run watch-less` but better.,2015-02-05T22:27:51Z,2021-07-01T10:49:06Z,1983,187,4590,JavaScript,https://www.npmjs.com/package/concurrently,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[]
N/A,41793121,awesome-math,rossant/awesome-math,A curated list of awesome mathematics resources,2015-09-02T09:42:31Z,2021-07-01T16:47:34Z,607,661,4576,Python,,,"['list', 'awesome', 'mathematics', 'awesome-list', 'lecture-notes']"
N/A,45355064,buku,jarun/buku,:bookmark: Personal mini-web in text,2015-11-01T19:53:18Z,2021-06-30T22:57:57Z,4337,239,4582,Python,,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}","['search', 'console', 'terminal', 'command-line', 'bookmark', 'standalone', 'bookmarks', 'organizer', 'bookmark-manager', 'privacy-aware']"
N/A,133717148,anomaly-detection-resources,yzhao062/anomaly-detection-resources,"Anomaly detection related books, papers, videos, and toolboxes",2018-05-16T20:02:54Z,2021-07-01T15:09:09Z,422,1177,4551,Python,,"{'key': 'agpl-3.0', 'name': 'GNU Affero General Public License v3.0', 'spdx_id': 'AGPL-3.0', 'url': 'https://api.github.com/licenses/agpl-3.0', 'node_id': 'MDc6TGljZW5zZTE='}","['data-mining', 'awesome', 'awesome-list', 'outlier-detection', 'time-series-analysis', 'anomaly-detection', 'outlier', 'outlier-ensembles']"
N/A,22687036,algorithms_and_data_structures,mandliya/algorithms_and_data_structures,180+ Algorithm & Data Structure Problems using C++,2014-08-06T15:08:27Z,2021-07-01T17:09:29Z,768,1078,4466,C++,,"{'key': 'gpl-2.0', 'name': 'GNU General Public License v2.0', 'spdx_id': 'GPL-2.0', 'url': 'https://api.github.com/licenses/gpl-2.0', 'node_id': 'MDc6TGljZW5zZTg='}","['c', 'c-plus-plus', 'tree', 'algorithm', 'datastructures', 'leetcode', 'cpp', 'bit-manipulation', 'data-structures', 'string-manipulation', 'interview-practice', 'leetcode-solutions', 'interview-questions']"
